contigs	hmm_profile	unique_identifier
mystery_genome_split_00249	Bacterial_16S_rRNA	08204b081b897f104549afd7d16b27e5c5f6a85c469afc77d046107e
mystery_genome_split_00249	Archaeal_23S_rRNA	00678be8447eccc3e8c779cf7f929f28c7a8ed6cac0bdea99f284853
mystery_genome_split_00248	Archaeal_23S_rRNA	00678be8447eccc3e8c779cf7f929f28c7a8ed6cac0bdea99f284853
mystery_genome_split_00255	Bacterial_16S_rRNA	efd6f3fdc837b528df325d67d85efe3763958b74f30f12fb4b62b022
mystery_genome_split_00255	Archaeal_23S_rRNA	aa0a2fe97cb9aff217110a4353402b2e6809b43fb69576e142d21212
mystery_genome_split_00211	Bacterial_16S_rRNA	662e1a86e4ce55f2a0e9c8f67c098aa008c61cbd28a948ce9f71eec2
mystery_genome_split_00211	Archaeal_23S_rRNA	effb0262753a887f8f1820c5091068f013f086c8208fc8246ddd2724
mystery_genome_split_00247	Bacterial_16S_rRNA	5cf16ceff464e399ca6aab8ef6bd26363295cba348f30c22e86a3b7e
mystery_genome_split_00027	Bacterial_16S_rRNA	1ce1e0102b30311d885dd5892dfa8112407123aab1b87a8baa87e906
mystery_genome_split_00027	Archaeal_23S_rRNA	e1afaf968037dfab5403d8bad6d4432c63ec46e731ca5282362789d4
mystery_genome_split_00260	Bacterial_16S_rRNA	b05fb8a5e9e39a7a730b6c95605916daf2da715cff2011d5e3f15138
mystery_genome_split_00260	Archaeal_23S_rRNA	db1af53c27dd93cc3789dce661445a6b61e3ccc0bc4ed3030903ab9c
mystery_genome_split_00246	Archaeal_23S_rRNA	5d2f4fcde99c81281ba37d9db0e6e4c2bd3a0ddbe7ab7ccfde935d02
mystery_genome_split_00067	Bacterial_16S_rRNA	16fe89e06d2b2714a447e674bb3bfbce865dc3e445eae04cb0ee0861
mystery_genome_split_00067	Archaeal_23S_rRNA	d29636691336bbc08d0c4d3a3e4ccbaf4711c71919c8f1902f3a1f94
